Local Time, Program run time, ID (hex),DLC,Data(hex)
2022-08-23 14:15:00.975049,1805.341000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.975143,1805.435000,4FF,6, 6F 00 7A 5D 00 00
2022-08-23 14:15:00.995076,1825.368000,1FF,8, 3A 02 00 00 38 4F 00 00
2022-08-23 14:15:00.995134,1825.426000,2FF,8, 4E 02 00 00 E8 03 00 00
2022-08-23 14:15:00.995242,1825.534000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:00.995338,1825.630000,4FF,6, 6A 00 3E 5D 00 00
2022-08-23 14:15:01.015084,1845.376000,1FF,8, 43 02 00 00 BA 4F 00 00
2022-08-23 14:15:01.015181,1845.473000,2FF,8, 56 02 00 00 E8 03 00 00
2022-08-23 14:15:01.015300,1845.592000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:01.015446,1845.738000,4FF,6, 6F 00 66 5D 00 00
2022-08-23 14:15:01.035176,1865.468000,1FF,8, 4C 02 00 00 7B 50 00 00
2022-08-23 14:15:01.035290,1865.582000,2FF,8, 5F 02 00 00 E8 03 00 00
2022-08-23 14:15:01.035408,1865.700000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:01.035520,1865.812000,4FF,6, 65 00 52 5D 00 00
2022-08-23 14:15:01.055303,1885.595000,1FF,8, 54 02 00 00 D5 52 00 00
2022-08-23 14:15:01.055419,1885.711000,2FF,8, 68 02 00 00 E8 03 00 00
2022-08-23 14:15:01.055531,1885.823000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:01.055641,1885.933000,4FF,6, 65 00 3E 5D 00 00
2022-08-23 14:15:01.075416,1905.708000,1FF,8, 5D 02 00 00 D7 53 00 00
2022-08-23 14:15:01.075524,1905.816000,2FF,8, 71 02 00 00 E8 03 00 00
2022-08-23 14:15:01.075647,1905.939000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:01.075751,1906.043000,4FF,6, 6A 00 CA 5D 00 00
2022-08-23 14:15:01.095594,1925.886000,1FF,8, 65 02 00 00 47 56 00 00
2022-08-23 14:15:01.095707,1925.999000,2FF,8, 7A 02 00 00 E8 03 00 00
2022-08-23 14:15:01.095828,1926.120000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:01.095951,1926.243000,4FF,6, 6A 00 2A 5D 00 00
2022-08-23 14:15:01.115599,1945.891000,1FF,8, 6E 02 00 00 34 57 00 00
2022-08-23 14:15:01.115719,1946.011000,2FF,8, 82 02 00 00 E8 03 00 00
2022-08-23 14:15:01.115857,1946.149000,3FF,8, 87 01 00 00 00 00 00 00
2022-08-23 14:15:01.115953,1946.245000,4FF,6, 6A 00 7A 5D 00 00
